raceId,current_lap,grid,position,total_laps,statusId,year,circuitRef,driverRef,constructorRef,lap_seconds,fastest_lap_time
900,53,6,8,57,1,2014,albert_park,vergne,toro_rosso,96.361,93.864
900,54,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.676,93.864
900,55,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.481,93.864
900,56,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.366,93.864
900,57,6,8,57,1,2014,albert_park,vergne,toro_rosso,94.931,93.864
900,1,11,7,57,1,2014,albert_park,raikkonen,ferrari,109.387,93.691
900,2,11,7,57,1,2014,albert_park,raikkonen,ferrari,98.63,93.691
900,3,11,7,57,1,2014,albert_park,raikkonen,ferrari,97.771,93.691
900,4,11,7,57,1,2014,albert_park,raikkonen,ferrari,97.013,93.691
900,5,11,7,57,1,2014,albert_park,raikkonen,ferrari,96.092,93.691
900,6,11,7,57,1,2014,albert_park,raikkonen,ferrari,95.132,93.691
900,7,11,7,57,1,2014,albert_park,raikkonen,ferrari,96.143,93.691
900,8,11,7,57,1,2014,albert_park,raikkonen,ferrari,98.122,93.691
900,9,11,7,57,1,2014,albert_park,raikkonen,ferrari,96.648,93.691
900,10,11,7,57,1,2014,albert_park,raikkonen,ferrari,96.444,93.691
